"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad","thrpt",2,25,"1,630615","0,310651","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad:writer1","thrpt",2,25,"1,182632","0,295678","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.array_pad:writer2","thrpt",2,25,"0,447982","0,015259","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline","thrpt",2,25,"0,909663","0,007197","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline:writer1","thrpt",2,25,"0,453981","0,007585","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.baseline:writer2","thrpt",2,25,"0,455682","0,007405","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended","thrpt",2,25,"2,435528","0,060583","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended:writer1","thrpt",2,25,"1,185503","0,060592","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.contended:writer2","thrpt",2,25,"1,250025","0,000410","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad","thrpt",2,25,"2,173457","0,485044","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad:writer1","thrpt",2,25,"1,086773","0,242589","ops/ns"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.FalseSharingBenchmark.manual_pad:writer2","thrpt",2,25,"1,086684","0,242456","ops/ns"
