"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.abs_array_elements","avgt",1,25,25.807197,0.381194,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.acos_array_elements","avgt",1,25,1555.474731,5.688374,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.add_2_arrays","avgt",1,25,37.417975,0.375469,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.add_2_arrays_inc_index_access","avgt",1,25,91.545112,0.121197,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.add_2_arrays_modulo_index_access","avgt",1,25,207.434316,0.124167,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.asin_array_elements","avgt",1,25,2088.073410,642.788692,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.atan2_2_arrays","avgt",1,25,13492.628460,5.407143,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.atan_array_elements","avgt",1,25,9742.646400,3.243642,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.cbrt_array_elements","avgt",1,25,2407.338972,0.393243,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.cos_array_elements","avgt",1,25,2234.815333,3.750558,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.cosh_array_elements","avgt",1,25,14929.525462,36.623918,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.div_2_arrays","avgt",1,25,37.871493,0.598945,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.eq_2_arrays","avgt",1,25,97.713947,0.076600,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.exp_array_elements","avgt",1,25,4115.073967,0.454938,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.expm1_array_elements","avgt",1,25,6330.752595,4.535832,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.fma_arrays","avgt",1,25,49.052652,0.601096,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.ge_2_arrays","avgt",1,25,126.591499,0.124035,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.gt_2_arrays","avgt",1,25,126.679908,0.442857,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.hypot_2_arrays","avgt",1,25,3355.283821,3.385872,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.if_with_masking_conditional_flow","avgt",1,25,122.756168,0.135306,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.is_finite_array_elements","avgt",1,25,81.583274,0.045923,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.is_infinite_array_elements","avgt",1,25,174.455234,0.053475,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.is_nan_array_elements","avgt",1,25,82.540794,0.071472,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.le_2_arrays","avgt",1,25,133.199501,0.470968,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.log10_array_elements","avgt",1,25,6870.772094,22.260488,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.log1p_array_elements","avgt",1,25,10068.063056,0.864412,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.log_array_elements","avgt",1,25,4277.601254,0.574642,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.lt_2_arrays","avgt",1,25,133.394316,0.199507,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.max_2_arrays","avgt",1,25,35.059277,0.429822,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.min_2_arrays","avgt",1,25,36.021073,0.705342,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.mod_2_arrays","avgt",1,25,3444.763314,18.696026,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.mul_2_arrays","avgt",1,25,37.949583,0.722037,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.mul_2_arrays_backward_iterator","avgt",1,25,36.817915,0.204228,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.mul_2_arrays_long_stride","avgt",1,25,243.880489,0.152875,"us/op",262144
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.VectorizationPatternsMultipleFloatArraysBenchmark.mul_2_arrays_of_mixed_types","avgt",1,25,112.682055,0.729151,"us/op",262144
