"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: algorithm","Param: messageLength"
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,367.208088,0.249193,"us/op",SHA256withDSA,64
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,367.378634,0.254958,"us/op",SHA256withDSA,512
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,368.257669,0.249156,"us/op",SHA256withDSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,374.102334,0.661565,"us/op",SHA256withDSA,16384
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,871.597148,0.741541,"us/op",SHA384withDSA,64
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,871.763170,0.325251,"us/op",SHA384withDSA,512
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,872.707084,0.324532,"us/op",SHA384withDSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,883.018462,1.125809,"us/op",SHA384withDSA,16384
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,871.804271,1.277843,"us/op",SHA512withDSA,64
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,872.273129,2.464510,"us/op",SHA512withDSA,512
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,872.848067,0.469750,"us/op",SHA512withDSA,2048
"com.ionutbalosin.jvm.performance.benchmarks.macro.signature.DsaSignatureBenchmark.sign","avgt",1,25,886.061275,8.537420,"us/op",SHA512withDSA,16384
