"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: algorithm","Param: length"
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"19,704679",NaN,"us/op",HmacMD5,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"5,402194",NaN,"us/op",HmacSHA1,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"5,506060",NaN,"us/op",HmacSHA224,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"5,492780",NaN,"us/op",HmacSHA256,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"9,873183",NaN,"us/op",HmacSHA384,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"9,765976",NaN,"us/op",HmacSHA512,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"9,263759",NaN,"us/op",HmacSHA512/224,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"9,310844",NaN,"us/op",HmacSHA512/256,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"15,573058",NaN,"us/op",HmacSHA3-224,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"16,455574",NaN,"us/op",HmacSHA3-256,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"21,350272",NaN,"us/op",HmacSHA3-384,16384
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.HmacCryptoBenchmark.mac","avgt",1,1,"30,981107",NaN,"us/op",HmacSHA3-512,16384
