"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.at_offset","avgt",1,25,1.778941,0.008338,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.at_zone","avgt",1,25,2.459412,0.011942,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.compare_to","avgt",1,25,0.975834,0.002299,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.get_nano_of_day","avgt",1,25,1.005137,0.005903,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.is_after","avgt",1,25,0.975682,0.003352,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.is_before","avgt",1,25,0.974588,0.001486,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.is_equal","avgt",1,25,0.975729,0.002901,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.minus_nanos","avgt",1,25,4.893194,0.008093,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now","avgt",1,25,60.490092,0.041281,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now_clock","avgt",1,25,42.385720,0.129173,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now_zone_id","avgt",1,25,42.673684,0.069855,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now_zone_offset","avgt",1,25,42.408941,0.045303,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of","avgt",1,25,4.194950,0.023948,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of_epoch_second","avgt",1,25,9.457920,0.630215,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of_instant","avgt",1,25,10.594544,0.016080,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of_local_date_time","avgt",1,25,4.213008,0.020168,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.parse","avgt",1,25,618.508934,41.492649,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.plus_nanos","avgt",1,25,4.892671,0.005078,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.to_local_date","avgt",1,25,0.632114,0.000957,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.to_local_time","avgt",1,25,0.640441,0.017754,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.to_string","avgt",1,25,502.421020,56.627450,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.truncated_to_nanos","avgt",1,25,0.666878,0.012886,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.with","avgt",1,25,2.594504,0.014260,"ns/op"
