"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.author_with_the_most_publications","avgt",1,25,15.401682,0.088434,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.authors_with_no_duplicate_collaborations","avgt",1,25,27.024343,0.269330,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.first_publication_year","avgt",1,25,4.139664,0.217868,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.last_publication_year","avgt",1,25,3.874635,0.251644,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.most_prolific_pair_of_authors","avgt",1,25,3400.033722,71.233464,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.most_prolific_pair_of_authors_per_year","avgt",1,25,614.256783,3.601000,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.number_of_publications_per_author","avgt",1,25,15.456642,0.114578,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.number_of_publications_per_year","avgt",1,25,4.610765,0.087694,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.publication_with_the_most_authors","avgt",1,25,10.295824,0.034624,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.publications_per_author","avgt",1,25,39.032018,0.655002,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.publications_with_the_most_authors_per_year","avgt",1,25,7.820323,0.109552,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.publications_years_statistics","avgt",1,25,5.649337,0.318634,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.year_with_the_most_publications","avgt",1,25,4.399659,0.342559,"ms/op"
"com.ionutbalosin.jvm.performance.benchmarks.miscellaneous.publicationstatistics.PublicationStatisticsBenchmark.years_with_the_most_publications","avgt",1,25,4.937574,0.119704,"ms/op"
