"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.at_zone_same_instant","avgt",1,25,12.114396,1.135767,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.at_zone_similar_local","avgt",1,25,2.354751,0.012675,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.compare_to","avgt",1,25,1.539906,0.007557,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.get_minute_of_day","avgt",1,25,0.952923,0.005901,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.get_nano_of_day","avgt",1,25,1.206080,0.005746,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.is_after","avgt",1,25,5.831292,0.008066,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.is_before","avgt",1,25,5.927299,0.008540,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.is_equal","avgt",1,25,5.851483,0.015653,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.minus_nanos","avgt",1,25,5.097051,0.009971,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.now","avgt",1,25,63.050907,0.067201,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.now_clock","avgt",1,25,41.308429,0.025182,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.now_zone_id","avgt",1,25,41.574241,0.103243,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.now_zone_offset","avgt",1,25,41.307470,0.034396,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.of","avgt",1,25,3.975272,0.015422,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.of_instant","avgt",1,25,10.745093,0.011231,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.of_local_date_time","avgt",1,25,3.999885,0.018693,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.of_local_datetime","avgt",1,25,3.950633,0.011973,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.parse","avgt",1,25,493.281690,6.314755,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.plus_nanos","avgt",1,25,5.050868,0.021220,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.to_epoch_second","avgt",1,25,2.977512,0.005679,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.to_instant","avgt",1,25,14.606811,0.732061,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.to_local_date","avgt",1,25,0.745819,0.006437,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.to_local_datetime","avgt",1,25,0.635021,0.011541,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.to_local_time","avgt",1,25,0.747163,0.008940,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.to_offset_time","avgt",1,25,2.203599,0.032755,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.to_string","avgt",1,25,52.322363,0.750765,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.to_zoned_datetime","avgt",1,25,15.120141,1.014522,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.truncated_to_nanos","avgt",1,25,0.914453,0.006476,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.OffsetDateTimeBenchmark.with","avgt",1,25,2.927645,0.013741,"ns/op"
