"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..bytesSize","Param..generatorName"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.doubles","avgt",1,25,3.291302,0.002413,"ns/op",1024,"SecureRandom"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.ints","avgt",1,25,3.446841,0.00697,"ns/op",1024,"SecureRandom"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.longs","avgt",1,25,3.286252,0.006131,"ns/op",1024,"SecureRandom"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_boolean","avgt",1,25,38.165059,0.078352,"ns/op",1024,"SecureRandom"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_bytes","avgt",1,25,4364.991807,17.083464,"ns/op",1024,"SecureRandom"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_double","avgt",1,25,102.518699,1.288692,"ns/op",1024,"SecureRandom"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_exponential","avgt",1,25,106.55929,1.01705,"ns/op",1024,"SecureRandom"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_float","avgt",1,25,57.336133,0.980943,"ns/op",1024,"SecureRandom"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_gaussian","avgt",1,25,152.727823,1.271298,"ns/op",1024,"SecureRandom"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_int","avgt",1,25,50.439209,0.08149,"ns/op",1024,"SecureRandom"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_long","avgt",1,25,101.186377,0.133074,"ns/op",1024,"SecureRandom"
