"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: branches"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.chained_ifs","avgt",1,25,1.970665,0.002923,"ns/op",3
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.chained_ifs","avgt",1,25,2.549235,0.016045,"ns/op",6
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.chained_ifs","avgt",1,25,6.176375,0.119638,"ns/op",12
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.chained_ifs","avgt",1,25,9.362282,0.014984,"ns/op",24
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.switch_expressions","avgt",1,25,1.971296,0.002856,"ns/op",3
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.switch_expressions","avgt",1,25,2.075645,0.002696,"ns/op",6
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.switch_expressions","avgt",1,25,3.269399,0.020969,"ns/op",12
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.switch_expressions","avgt",1,25,3.442221,0.046909,"ns/op",24
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.switch_statements","avgt",1,25,1.971108,0.002664,"ns/op",3
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.switch_statements","avgt",1,25,2.084914,0.015678,"ns/op",6
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.switch_statements","avgt",1,25,3.275726,0.045854,"ns/op",12
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringSwitchBenchmark.switch_statements","avgt",1,25,3.489479,0.060375,"ns/op",24
