"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.explicit_10_params","avgt",1,25,2.096988,0.003106,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.explicit_2_params","avgt",1,25,2.029090,0.003294,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.explicit_6_params","avgt",1,25,2.027064,0.001964,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_explicit_10_params","avgt",1,25,3.259943,0.001210,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_explicit_2_params","avgt",1,25,2.407472,0.003698,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_explicit_6_params","avgt",1,25,2.718204,0.004219,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_var_args_10_params","avgt",1,25,7.879467,0.015776,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_var_args_2_params","avgt",1,25,4.509124,0.007547,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_var_args_6_params","avgt",1,25,6.180667,0.015513,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.var_args_10_params","avgt",1,25,2.096872,0.002879,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.var_args_2_params","avgt",1,25,2.029352,0.004010,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.var_args_6_params","avgt",1,25,2.025693,0.001552,"ns/op"
