"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: dataSize","Param: keySize","Param: transformation"
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.decrypt","avgt",1,1,"1,153368",NaN,"us/op",16384,128,AES/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.decrypt","avgt",1,1,"1,983752",NaN,"us/op",16384,128,AES/CBC/PKCS5Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.decrypt","avgt",1,1,"1,306718",NaN,"us/op",16384,192,AES/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.decrypt","avgt",1,1,"2,066479",NaN,"us/op",16384,192,AES/CBC/PKCS5Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.decrypt","avgt",1,1,"1,473604",NaN,"us/op",16384,256,AES/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.decrypt","avgt",1,1,"2,222963",NaN,"us/op",16384,256,AES/CBC/PKCS5Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.encrypt","avgt",1,1,"11,820178",NaN,"us/op",16384,128,AES/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.encrypt","avgt",1,1,"11,656416",NaN,"us/op",16384,128,AES/CBC/PKCS5Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.encrypt","avgt",1,1,"11,675201",NaN,"us/op",16384,192,AES/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.encrypt","avgt",1,1,"11,384220",NaN,"us/op",16384,192,AES/CBC/PKCS5Padding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.encrypt","avgt",1,1,"14,144227",NaN,"us/op",16384,256,AES/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.AesCbcCryptoBenchmark.encrypt","avgt",1,1,"16,068694",NaN,"us/op",16384,256,AES/CBC/PKCS5Padding
