"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.array_pad","avgt",2,1,"0,572435",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.array_pad:reader","avgt",2,1,"0,571997",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.array_pad:writer","avgt",2,1,"0,572873",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.baseline","avgt",2,1,"0,829805",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.baseline:reader","avgt",2,1,"0,820554",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.baseline:writer","avgt",2,1,"0,839056",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.contended","avgt",2,1,"0,859116",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.contended:reader","avgt",2,1,"0,848190",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.contended:writer","avgt",2,1,"0,870043",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.manual_pad","avgt",2,1,"0,615708",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.manual_pad:reader","avgt",2,1,"0,389773",NaN,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.FalseSharingBenchmark.manual_pad:writer","avgt",2,1,"0,841643",NaN,"ns/op"
