"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..bytesSize","Param..generatorName"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.doubles","avgt",1,25,11.555285,0.212819,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.ints","avgt",1,25,11.685068,0.128075,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.longs","avgt",1,25,11.588646,0.191143,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_boolean","avgt",1,25,2.913981,0.003337,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_bytes","avgt",1,25,242.333484,0.301163,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_double","avgt",1,25,2.872943,0.00428,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_exponential","avgt",1,25,3.755029,0.037283,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_float","avgt",1,25,3.39541,0.03342,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_gaussian","avgt",1,25,3.857633,0.008786,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_int","avgt",1,25,3.643091,0.003582,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.macro.random.RandomGeneratorBenchmark.next_long","avgt",1,25,3.385275,0.123227,"ns/op",1024,"Xoshiro256PlusPlus"
