"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..bytesSize","Param..generatorName"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,18.599865,0.043726,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,18.570435,0.034146,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.longs","avgt",1,25,18.570393,0.040916,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_boolean","avgt",1,25,2.87915,0.031421,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_bytes","avgt",1,25,702.271468,0.057585,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_double","avgt",1,25,3.167397,0.000244,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_exponential","avgt",1,25,11.884379,0.251786,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_float","avgt",1,25,3.167295,0.000194,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_gaussian","avgt",1,25,12.073802,0.048283,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_int","avgt",1,25,2.845463,0.001119,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_long","avgt",1,25,2.895821,0.000041,"ns/op",1024,"Xoroshiro128PlusPlus"
