"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: backoffType","Param: loadFactor","Param: lockType","Param: threadType"
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,0.997478,0.006310,"ms/op",NONE,384,OBJECT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,0.654256,0.016567,"ms/op",NONE,384,OBJECT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,1.070966,0.017171,"ms/op",NONE,384,REENTRANT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,0.655085,0.010077,"ms/op",NONE,384,REENTRANT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,0.947560,0.007638,"ms/op",NONE,384,NO_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,0.569048,0.014150,"ms/op",NONE,384,NO_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,5.626938,0.095587,"ms/op",SLEEP,384,OBJECT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,2687.953397,2.375531,"ms/op",SLEEP,384,OBJECT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,50.270430,0.372066,"ms/op",SLEEP,384,REENTRANT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,2686.542062,1.457122,"ms/op",SLEEP,384,REENTRANT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,9.054944,0.285209,"ms/op",SLEEP,384,NO_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,441.752499,0.435403,"ms/op",SLEEP,384,NO_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,5.060822,0.097285,"ms/op",PARK,384,OBJECT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,130.642775,0.095074,"ms/op",PARK,384,OBJECT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,47.957476,0.222108,"ms/op",PARK,384,REENTRANT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,130.514966,0.117857,"ms/op",PARK,384,REENTRANT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,8.230521,0.184766,"ms/op",PARK,384,NO_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.thread.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,20.459077,0.032725,"ms/op",PARK,384,NO_LOCK,PLATFORM
