"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dataSize","Param: keySize","Param: transformation"
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.decrypt","avgt",1,25,12.517337,0.610003,"us/op",16384,128,AES/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.decrypt","avgt",1,25,21.859275,0.455747,"us/op",16384,128,AES/ECB/PKCS5Padding
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.decrypt","avgt",1,25,13.817142,0.039426,"us/op",16384,192,AES/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.decrypt","avgt",1,25,23.090085,0.478103,"us/op",16384,192,AES/ECB/PKCS5Padding
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.decrypt","avgt",1,25,13.462777,0.044207,"us/op",16384,256,AES/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.decrypt","avgt",1,25,23.016445,0.431110,"us/op",16384,256,AES/ECB/PKCS5Padding
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.encrypt","avgt",1,25,12.524759,0.072482,"us/op",16384,128,AES/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.encrypt","avgt",1,25,21.187431,0.474077,"us/op",16384,128,AES/ECB/PKCS5Padding
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.encrypt","avgt",1,25,12.982387,0.063736,"us/op",16384,192,AES/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.encrypt","avgt",1,25,22.318796,0.552263,"us/op",16384,192,AES/ECB/PKCS5Padding
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.encrypt","avgt",1,25,13.204436,0.077376,"us/op",16384,256,AES/ECB/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.macro.crypto.AesEcbCryptoBenchmark.encrypt","avgt",1,25,22.426370,0.441067,"us/op",16384,256,AES/ECB/PKCS5Padding
