"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..bytesSize","Param..generatorName"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,11.656332,0.014185,"ns/op",1024,"L64X128StarStarRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,11.06295,0.011638,"ns/op",1024,"L64X128StarStarRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.longs","avgt",1,25,11.653644,0.01179,"ns/op",1024,"L64X128StarStarRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_boolean","avgt",1,25,4.084858,0.000671,"ns/op",1024,"L64X128StarStarRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_bytes","avgt",1,25,581.804137,0.028896,"ns/op",1024,"L64X128StarStarRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_double","avgt",1,25,4.051224,0.004442,"ns/op",1024,"L64X128StarStarRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_exponential","avgt",1,25,5.438151,0.002278,"ns/op",1024,"L64X128StarStarRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_float","avgt",1,25,3.929002,0.008644,"ns/op",1024,"L64X128StarStarRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_gaussian","avgt",1,25,12.241724,0.033869,"ns/op",1024,"L64X128StarStarRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_int","avgt",1,25,3.868166,0.000685,"ns/op",1024,"L64X128StarStarRandom"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_long","avgt",1,25,3.780369,0.020133,"ns/op",1024,"L64X128StarStarRandom"
