"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..bytesSize","Param..generatorName"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,27.026253,0.047926,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,25.896968,1.375691,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.longs","avgt",1,25,26.726287,0.34805,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_boolean","avgt",1,25,4.114299,0.018407,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_bytes","avgt",1,25,615.034006,7.010147,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_double","avgt",1,25,4.084728,0.047807,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_exponential","avgt",1,25,5.064367,0.000917,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_float","avgt",1,25,4.279903,0.018063,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_gaussian","avgt",1,25,10.979821,0.27975,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_int","avgt",1,25,3.772358,0.026848,"ns/op",1024,"Xoshiro256PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_long","avgt",1,25,3.53501,0.025793,"ns/op",1024,"Xoshiro256PlusPlus"
