"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: backoffType","Param: cpuLoadFactor","Param: lockType","Param: threadType"
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,28.563167,0.074024,"us/op",NONE,2,OBJECT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,439.970919,2.257185,"us/op",NONE,2,OBJECT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,28.370228,0.071386,"us/op",NONE,2,REENTRANT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,439.687138,2.033791,"us/op",NONE,2,REENTRANT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,28.450061,0.077856,"us/op",NONE,2,NO_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,440.336672,2.102493,"us/op",NONE,2,NO_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,35.054626,0.159749,"us/op",SLEEP,2,OBJECT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,903.882279,1.111715,"us/op",SLEEP,2,OBJECT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,115.587993,1.646741,"us/op",SLEEP,2,REENTRANT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,914.130294,1.155886,"us/op",SLEEP,2,REENTRANT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,39.128799,0.287859,"us/op",SLEEP,2,NO_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,481.320121,2.388897,"us/op",SLEEP,2,NO_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,35.350302,0.197121,"us/op",PARK,2,OBJECT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,845.783446,2.317184,"us/op",PARK,2,OBJECT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,162.649352,2.217311,"us/op",PARK,2,REENTRANT_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,905.783762,1.462880,"us/op",PARK,2,REENTRANT_LOCK,PLATFORM
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,44.083451,0.492193,"us/op",PARK,2,NO_LOCK,VIRTUAL
"com.ionutbalosin.jvm.performance.benchmarks.api.VPThreadSynchronizationBenchmark.synchronized_calls","avgt",1,25,466.062966,1.584140,"us/op",PARK,2,NO_LOCK,PLATFORM
