"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dataSize","Param: keySize","Param: transformation"
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,25,175.716779,0.306146,"us/op",16384,32,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,25,175.453766,0.301574,"us/op",16384,64,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,25,178.179916,4.453865,"us/op",16384,128,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,25,177.851319,4.412206,"us/op",16384,256,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,25,175.870701,0.757842,"us/op",16384,448,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,25,200.116418,0.071995,"us/op",16384,32,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,25,200.392879,0.586873,"us/op",16384,64,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,25,200.304689,0.123677,"us/op",16384,128,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,25,200.235263,0.151298,"us/op",16384,256,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,25,200.212201,0.188386,"us/op",16384,448,Blowfish/CBC/NoPadding
