"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: regexp"
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.pattern_split","avgt",1,25,106.999201,4.348656,"us/op",_
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.pattern_split:gc.alloc.rate","avgt",1,25,1277.715457,48.105682,"MB/sec",_
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.pattern_split:gc.alloc.rate.norm","avgt",1,25,142984.074175,0.003012,"B/op",_
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.pattern_split:gc.count","avgt",1,25,131.000000,NaN,"counts",_
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.pattern_split:gc.time","avgt",1,25,246.000000,NaN,"ms",_
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.pattern_split","avgt",1,25,116.564009,1.270477,"us/op",__
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.pattern_split:gc.alloc.rate","avgt",1,25,1170.039140,12.704491,"MB/sec",__
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.pattern_split:gc.alloc.rate.norm","avgt",1,25,142984.080790,0.000856,"B/op",__
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.pattern_split:gc.count","avgt",1,25,120.000000,NaN,"counts",__
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.pattern_split:gc.time","avgt",1,25,227.000000,NaN,"ms",__
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.string_split","avgt",1,25,64.951727,0.204663,"us/op",_
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.string_split:gc.alloc.rate","avgt",1,25,2097.510080,6.617458,"MB/sec",_
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.string_split:gc.alloc.rate.norm","avgt",1,25,142856.045043,0.000176,"B/op",_
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.string_split:gc.count","avgt",1,25,215.000000,NaN,"counts",_
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.string_split:gc.time","avgt",1,25,402.000000,NaN,"ms",_
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.string_split","avgt",1,25,93.031203,3.929952,"us/op",__
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.string_split:gc.alloc.rate","avgt",1,25,1470.842391,57.398004,"MB/sec",__
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.string_split:gc.alloc.rate.norm","avgt",1,25,143080.064482,0.002753,"B/op",__
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.string_split:gc.count","avgt",1,25,150.000000,NaN,"counts",__
"com.ionutbalosin.jvm.performance.benchmarks.micro.compiler.StringPatternSplitBenchmark.string_split:gc.time","avgt",1,25,286.000000,NaN,"ms",__
