"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.at_offset","avgt",1,25,3.448578,0.003059,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.at_zone","avgt",1,25,4.582659,0.001904,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.compare_to","avgt",1,25,1.742714,0.000145,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.get_nano_of_day","avgt",1,25,1.955618,0.000307,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.is_after","avgt",1,25,1.767532,0.001985,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.is_before","avgt",1,25,1.766245,0.002469,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.is_equal","avgt",1,25,1.738182,0.000020,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.minus_nanos","avgt",1,25,20.721553,0.014527,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now","avgt",1,25,155.175173,1.987506,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now_clock","avgt",1,25,101.370526,0.291289,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now_zone_id","avgt",1,25,100.567100,0.075845,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now_zone_offset","avgt",1,25,101.312619,0.124365,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of","avgt",1,25,15.954798,0.059814,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of_epoch_second","avgt",1,25,25.371406,0.009699,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of_instant","avgt",1,25,27.952713,0.027684,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of_local_date_time","avgt",1,25,16.152651,0.008233,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.parse","avgt",1,25,1735.881466,7.654009,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.plus_nanos","avgt",1,25,20.737435,0.013457,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.to_local_date","avgt",1,25,0.964510,0.000010,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.to_local_time","avgt",1,25,0.964526,0.000079,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.to_string","avgt",1,25,341.278850,3.735096,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.truncated_to_nanos","avgt",1,25,0.964507,0.000007,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.with","avgt",1,25,20.916694,0.161508,"ns/op"
