"Benchmark","Mode","Threads","Samples","Score","Score.Error..99.9..","Unit","Param..bytesSize","Param..generatorName"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.doubles","avgt",1,25,24.218655,0.028482,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.ints","avgt",1,25,24.175185,0.015551,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.longs","avgt",1,25,24.18298,0.010875,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_boolean","avgt",1,25,3.410927,0.000609,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_bytes","avgt",1,25,640.020808,0.01096,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_double","avgt",1,25,3.368893,0.000283,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_exponential","avgt",1,25,4.447361,0.000492,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_float","avgt",1,25,3.513535,0.000415,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_gaussian","avgt",1,25,11.160947,0.039493,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_int","avgt",1,25,3.088061,0.001177,"ns/op",1024,"Xoroshiro128PlusPlus"
"com.ionutbalosin.jvm.performance.benchmarks.api.random.RandomGeneratorBenchmark.next_long","avgt",1,25,3.141999,0.000297,"ns/op",1024,"Xoroshiro128PlusPlus"
