"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: capacity","Param: coder"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.message_format","avgt",1,25,12550.147072,18.476048,"ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.message_format:gc.alloc.rate","avgt",1,25,928.260532,1.364213,"MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.message_format:gc.alloc.rate.norm","avgt",1,25,12216.008710,0.000023,"B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.message_format:gc.count","avgt",1,25,95.000000,NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.message_format:gc.time","avgt",1,25,173.000000,NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.message_format","avgt",1,25,13552.117245,792.158487,"ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.message_format:gc.alloc.rate","avgt",1,25,945.444291,25.067703,"MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.message_format:gc.alloc.rate.norm","avgt",1,25,13400.009411,419.485195,"B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.message_format:gc.count","avgt",1,25,98.000000,NaN,"counts",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.message_format:gc.time","avgt",1,25,178.000000,NaN,"ms",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,402.092480,1.292679,"ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate","avgt",1,25,1214.337150,3.905700,"MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate.norm","avgt",1,25,512.000278,0.000001,"B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.count","avgt",1,25,124.000000,NaN,"counts",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.time","avgt",1,25,223.000000,NaN,"ms",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,334.251543,1.313153,"ns/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate","avgt",1,25,2191.223922,8.625547,"MB/sec",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate.norm","avgt",1,25,768.000231,0.000001,"B/op",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.count","avgt",1,25,225.000000,NaN,"counts",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.time","avgt",1,25,395.000000,NaN,"ms",128,UTF16
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer","avgt",1,25,528.005177,1.924545,"ns/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate","avgt",1,25,1849.518973,6.725098,"MB/sec",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate.norm","avgt",1,25,1024.000365,0.000001,"B/op",128,LATIN1
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.count","avgt",1,25,189.000000,NaN,"counts",128,LATIN1
