"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: coder","Param: distribution","Param: length"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip","avgt",1,25,604.221530,0.796267,"ns/op",LATIN1,BALANCED_HEAD_TAIL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip","avgt",1,25,975.570380,2.020589,"ns/op",LATIN1,FULL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip","avgt",1,25,1784.121154,2.898059,"ns/op",UTF16,BALANCED_HEAD_TAIL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip","avgt",1,25,974.928214,1.516655,"ns/op",UTF16,FULL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip_leading","avgt",1,25,332.893940,0.198258,"ns/op",LATIN1,BALANCED_HEAD_TAIL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip_leading","avgt",1,25,843.693492,1.730910,"ns/op",LATIN1,FULL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip_leading","avgt",1,25,880.736172,1.018880,"ns/op",UTF16,BALANCED_HEAD_TAIL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip_leading","avgt",1,25,845.323854,2.833943,"ns/op",UTF16,FULL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip_trailing","avgt",1,25,326.942781,0.914827,"ns/op",LATIN1,BALANCED_HEAD_TAIL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip_trailing","avgt",1,25,982.589637,3.220635,"ns/op",LATIN1,FULL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip_trailing","avgt",1,25,1578.220224,1.777446,"ns/op",UTF16,BALANCED_HEAD_TAIL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.strip_trailing","avgt",1,25,984.502824,1.883355,"ns/op",UTF16,FULL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.trim","avgt",1,25,242.319436,0.189318,"ns/op",LATIN1,BALANCED_HEAD_TAIL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.trim","avgt",1,25,261.079308,0.090349,"ns/op",LATIN1,FULL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.trim","avgt",1,25,362.767472,0.364532,"ns/op",UTF16,BALANCED_HEAD_TAIL,1024
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringWhitespaceBenchmark.trim","avgt",1,25,261.187084,0.148458,"ns/op",UTF16,FULL,1024
