"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: dataSize","Param: keySize","Param: transformation"
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,25,148.001774,0.511642,"us/op",16384,32,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,25,148.941108,1.502786,"us/op",16384,64,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,25,149.946082,1.680144,"us/op",16384,128,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,25,148.060013,0.487354,"us/op",16384,256,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.decrypt","avgt",1,25,149.167820,1.663759,"us/op",16384,448,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,25,167.774468,0.539101,"us/op",16384,32,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,25,167.988366,0.437897,"us/op",16384,64,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,25,167.577986,0.560215,"us/op",16384,128,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,25,167.667716,0.483984,"us/op",16384,256,Blowfish/CBC/NoPadding
"com.ionutbalosin.jvm.performance.benchmarks.api.crypto.BlowfishCbcCryptoBenchmark.encrypt","avgt",1,25,167.975539,0.698929,"us/op",16384,448,Blowfish/CBC/NoPadding
