"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.at_offset","avgt",1,25,2.506453,0.033225,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.at_zone","avgt",1,25,3.158704,0.018322,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.compare_to","avgt",1,25,1.369508,0.000042,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.get_nano_of_day","avgt",1,25,1.418863,0.000054,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.is_after","avgt",1,25,1.369095,0.000058,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.is_before","avgt",1,25,1.369115,0.000058,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.is_equal","avgt",1,25,1.367874,0.000047,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.minus_nanos","avgt",1,25,9.886071,0.077908,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now","avgt",1,25,71.611016,0.387318,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now_clock","avgt",1,25,48.808735,0.693106,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now_zone_id","avgt",1,25,51.872248,0.288558,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.now_zone_offset","avgt",1,25,48.342655,0.281643,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of","avgt",1,25,7.291786,0.039751,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of_epoch_second","avgt",1,25,15.001353,0.084830,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of_instant","avgt",1,25,15.132323,0.111072,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.of_local_date_time","avgt",1,25,7.282082,0.063036,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.parse","avgt",1,25,716.108723,10.475808,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.plus_nanos","avgt",1,25,9.516559,0.078016,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.to_local_date","avgt",1,25,0.759768,0.000029,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.to_local_time","avgt",1,25,0.759780,0.000025,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.to_string","avgt",1,25,29.796644,0.327876,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.truncated_to_nanos","avgt",1,25,0.759773,0.000025,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.LocalDateTimeBenchmark.with","avgt",1,25,4.917448,0.047389,"ns/op"
