"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: formatterType","Param: temporalType"
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,84.308945,0.962165,"ns/op",BASIC_ISO_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,84.439195,1.029647,"ns/op",BASIC_ISO_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,83.515132,0.773316,"ns/op",ISO_OFFSET_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,83.161509,0.895859,"ns/op",ISO_OFFSET_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,123.118251,1.475857,"ns/op",ISO_OFFSET_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,123.850175,1.924072,"ns/op",ISO_OFFSET_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,196.849275,1.892987,"ns/op",ISO_OFFSET_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,200.609177,2.870939,"ns/op",ISO_OFFSET_DATE_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,225.381412,2.784075,"ns/op",ISO_ZONED_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,221.214637,2.383118,"ns/op",ISO_ZONED_DATE_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,72.335705,1.227552,"ns/op",ISO_ORDINAL_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,71.484806,1.020759,"ns/op",ISO_ORDINAL_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,110.702856,1.477364,"ns/op",ISO_WEEK_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,110.013181,1.452537,"ns/op",ISO_WEEK_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,124.002509,1.121104,"ns/op",ISO_INSTANT,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,129.874715,1.331292,"ns/op",ISO_INSTANT,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,201.918990,2.388434,"ns/op",RFC_1123_DATE_TIME,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format","avgt",1,25,195.549450,2.473842,"ns/op",RFC_1123_DATE_TIME,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,25,76.832560,0.969692,"ns/op",BASIC_ISO_DATE,ZONED_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,25,76.021596,0.737737,"ns/op",BASIC_ISO_DATE,OFFSET_DATE_TIME
"com.ionutbalosin.jvm.performance.benchmarks.api.time.DateTimeFormatterFormatBenchmark.format_to","avgt",1,25,73.555571,0.644657,"ns/op",ISO_OFFSET_DATE,ZONED_DATE_TIME
