"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: coder","Param: length"
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,164.632235,2.140350,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate","avgt",1,25,2966.657047,38.380207,"MB/sec",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate.norm","avgt",1,25,512.000115,0.000001,"B/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.count","avgt",1,25,302.000000,NaN,"counts",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.time","avgt",1,25,328.000000,NaN,"ms",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator","avgt",1,25,207.109955,1.745019,"ns/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate","avgt",1,25,3315.675476,27.940453,"MB/sec",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.alloc.rate.norm","avgt",1,25,720.000144,0.000001,"B/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.count","avgt",1,25,338.000000,NaN,"counts",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.plus_operator:gc.time","avgt",1,25,354.000000,NaN,"ms",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer","avgt",1,25,193.538332,2.863095,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate","avgt",1,25,3825.121417,56.502139,"MB/sec",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate.norm","avgt",1,25,776.000135,0.000002,"B/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.count","avgt",1,25,389.000000,NaN,"counts",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.time","avgt",1,25,398.000000,NaN,"ms",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer","avgt",1,25,280.860305,3.618336,"ns/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate","avgt",1,25,4754.970117,61.304180,"MB/sec",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.alloc.rate.norm","avgt",1,25,1400.000196,0.000002,"B/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.count","avgt",1,25,485.000000,NaN,"counts",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_buffer:gc.time","avgt",1,25,493.000000,NaN,"ms",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder","avgt",1,25,193.636666,2.405933,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate","avgt",1,25,3822.755537,47.609025,"MB/sec",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate.norm","avgt",1,25,776.000135,0.000002,"B/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.count","avgt",1,25,390.000000,NaN,"counts",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.time","avgt",1,25,401.000000,NaN,"ms",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder","avgt",1,25,257.130062,3.052944,"ns/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate","avgt",1,25,5163.923612,61.886116,"MB/sec",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.alloc.rate.norm","avgt",1,25,1392.000179,0.000002,"B/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.count","avgt",1,25,527.000000,NaN,"counts",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_builder:gc.time","avgt",1,25,530.000000,NaN,"ms",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_concat","avgt",1,25,269.317721,4.027753,"ns/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_concat:gc.alloc.rate","avgt",1,25,6631.207390,97.986615,"MB/sec",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_concat:gc.alloc.rate.norm","avgt",1,25,1872.000187,0.000003,"B/op",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_concat:gc.count","avgt",1,25,676.000000,NaN,"counts",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_concat:gc.time","avgt",1,25,677.000000,NaN,"ms",LATIN1,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_concat","avgt",1,25,386.717795,3.247390,"ns/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_concat:gc.alloc.rate","avgt",1,25,8030.272704,67.350271,"MB/sec",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_concat:gc.alloc.rate.norm","avgt",1,25,3256.000267,0.000002,"B/op",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_concat:gc.count","avgt",1,25,819.000000,NaN,"counts",UTF16,128
"com.ionutbalosin.jvm.performance.benchmarks.api.string.StringConcatenationBenchmark.string_concat:gc.time","avgt",1,25,817.000000,NaN,"ms",UTF16,128
