"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.explicit_10_params","avgt",1,25,3.037658,0.000110,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.explicit_2_params","avgt",1,25,2.278205,0.000098,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.explicit_6_params","avgt",1,25,2.435625,0.000109,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_explicit_10_params","avgt",1,25,5.086830,0.001977,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_explicit_2_params","avgt",1,25,3.716406,0.002941,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_explicit_6_params","avgt",1,25,4.255854,0.000400,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_var_args_10_params","avgt",1,25,8.985001,0.095002,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_var_args_2_params","avgt",1,25,6.029354,0.043398,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.no_inline_var_args_6_params","avgt",1,25,7.376871,0.061406,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.var_args_10_params","avgt",1,25,3.037650,0.000117,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.var_args_2_params","avgt",1,25,2.278117,0.000139,"ns/op"
"com.ionutbalosin.jvm.performance.benchmarks.compiler.VarArgsBenchmark.var_args_6_params","avgt",1,25,2.435536,0.000094,"ns/op"
